,MAE,MSE,RMSE,R2,set,modelo
0,662.8755166731563,697830.3264481513,835.362392287414,0.6767165608980895,test,Decision Tree Registrados Codif y Estand
1,599.6638295032413,614818.4795494283,784.1036153146014,0.7533901250776394,train,Decision Tree Registrados Codif y Estand
0,484.5077454910871,427255.4284609597,653.6477862434475,0.8020656325000202,test,Decision Tree Registrados Codif II
1,490.96249805497365,432898.8338977739,657.9504798218281,0.8263599243799518,train,Decision Tree Registrados Codif II
